PATCH_SIZE = 32  # <<< MUDE AQUI para 64, 128 etc.

# --------------------------
# Parâmetros do HOG 
# --------------------------
HOG_PARAMS = {
    "orientations": 9,
    "pixels_per_cell": (8, 8),
    "cells_per_block": (3, 3),
    "block_norm": "L2-Hys",
}

# --------------------------
# Parâmetros dos algoritmos 
# Esses parâmetros podem ser alterados
# --------------------------
GWO_PARAMS = {
    "search_radius": 12.0,
    "iters": 3,
    "pop_size": 15,
}

PSO_PARAMS = {
    "search_radius": 12.0,
    "iters": 3,
    "pop_size": 15,
    "wMin": 0.4,
    "wMax": 0.9,
    "c1": 2.05,   
    "c2": 2.05,  
}

FFA_PARAMS = {
    "search_radius": 12.0,
    "iters": 3,
    "pop_size": 15,
    "gamma": 1.0,
    "alpha": 0.5,
    "betamin": 1.0,
}

###############################
## GWO: 3 execuções para reprodutibilidade
###############################


>>> GWO - Execução 1/3
[GWO] Frame 1: inicialização com GT, IoU=1.000, ErroCentro=0.00
[GWO] Frame   1 | IoU=1.000 | ErroCentro=0.00 | Custo=0.0000 | Tempo=0.0000 s
[GWO] Frame   2 | IoU=0.911 | ErroCentro=1.12 | Custo=0.5393 | Tempo=0.0130 s
[GWO] Frame   3 | IoU=0.940 | ErroCentro=0.71 | Custo=0.6507 | Tempo=0.0133 s
[GWO] Frame   4 | IoU=0.884 | ErroCentro=1.58 | Custo=0.6641 | Tempo=0.0161 s
[GWO] Frame   5 | IoU=0.969 | ErroCentro=0.50 | Custo=0.5783 | Tempo=0.0134 s
[GWO] Frame   6 | IoU=0.884 | ErroCentro=1.41 | Custo=0.6772 | Tempo=0.0140 s
[GWO] Frame   7 | IoU=0.884 | ErroCentro=1.41 | Custo=0.8823 | Tempo=0.0130 s
[GWO] Frame   8 | IoU=0.911 | ErroCentro=1.12 | Custo=0.8106 | Tempo=0.0131 s
[GWO] Frame   9 | IoU=0.857 | ErroCentro=2.06 | Custo=1.7692 | Tempo=0.0181 s
[GWO] Frame  10 | IoU=0.911 | ErroCentro=1.12 | Custo=1.4733 | Tempo=0.0130 s
[GWO] Frame  11 | IoU=0.807 | ErroCentro=2.69 | Custo=2.0363 | Tempo=0.0150 s
[GWO] Frame  12 | IoU=0.910 | ErroCentro=1.50 | Custo=1.9158 | Tempo=0.0137 s
[GWO] Frame  13 | IoU=0.969 | ErroCentro=0.50 | Custo=1.7718 | Tempo=0.0136 s
[GWO] Frame  14 | IoU=0.884 | ErroCentro=1.58 | Custo=1.8144 | Tempo=0.0140 s
[GWO] Frame  15 | IoU=0.832 | ErroCentro=2.24 | Custo=2.0324 | Tempo=0.0128 s
[GWO] Frame  16 | IoU=0.882 | ErroCentro=2.00 | Custo=1.8875 | Tempo=0.0130 s
[GWO] Frame  17 | IoU=0.761 | ErroCentro=3.20 | Custo=2.2083 | Tempo=0.0140 s
[GWO] Frame  18 | IoU=0.910 | ErroCentro=1.50 | Custo=2.4903 | Tempo=0.0130 s
[GWO] Frame  19 | IoU=0.784 | ErroCentro=2.92 | Custo=3.2300 | Tempo=0.0140 s
[GWO] Frame  20 | IoU=0.695 | ErroCentro=4.47 | Custo=3.3670 | Tempo=0.0140 s
[GWO] Frame  21 | IoU=0.855 | ErroCentro=2.50 | Custo=3.6873 | Tempo=0.0140 s
[GWO] Frame  22 | IoU=0.939 | ErroCentro=1.00 | Custo=3.6176 | Tempo=0.0130 s
[GWO] Frame  23 | IoU=0.737 | ErroCentro=3.81 | Custo=3.8818 | Tempo=0.0132 s
[GWO] Frame  24 | IoU=0.911 | ErroCentro=1.12 | Custo=3.8038 | Tempo=0.0129 s
[GWO] Frame  25 | IoU=0.784 | ErroCentro=2.83 | Custo=3.6942 | Tempo=0.0436 s
[GWO] Frame  26 | IoU=0.884 | ErroCentro=1.58 | Custo=3.9596 | Tempo=0.0136 s
